episode,total_steps,measure_interval,average_total_waiting_time,average_waiting_time_per_vehicle,max_total_waiting_time,max_vehicle_waiting_time,cumulative_total_waiting_time,measurement_count
1,12000,10,205.29583333333332,6.084832861577981,788.0,61.0,246355.0,1200
2,12000,10,205.075,6.091846839225213,759.0,61.0,246090.0,1200
3,12000,10,199.8375,5.98020524003368,780.0,62.0,239805.0,1200
